Óxido	KS845	KS846	KS855	KS856	KS857	KS858	KS859	KS862	KS864	KS865	KS866	KS868	KS872	KS883	INC(%)
SIO2	49.55	50.15	51.10	51.65	51.06	51.61	51.36	50.42	50.28	53.99	55.58	50.74	51.67	52.04	0.2
TIO2	2.22	3.79	2.19	2.3	2.26	2.34	2.31	2.02	4.46	3.36	2.71	2.59	3.82	3.6	1.32
AL2O3	12.72	11.94	12.45	12.62	12.84	12.63	12.72	13.48	13.15	12.65	12.56	15.5	12.91	12.58	0.44
FE2O3	14.82	16.10	15.42	15.51	15.44	15.54	15.51	14.26	12.94	13.05	13.05	16.37	13.26	14.85	0.37
FEO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37
MNO	0.21	0.23	0.22	0.22	0.22	0.22	0.22	0.2	0.16	0.15	0.16	0.21	0.15	0.23	0.57
MGO	6.58	4.13	5.18	4.82	4.88	4.59	4.75	5.9	5.51	3.34	2.51	4.4	4.41	3.97	0.77
CAO	9.98	8.56	9.36	8.92	9.23	8.86	8.95	10.45	9.22	6.77	6.05	8.42	7.75	7.75	0.22
NA2O	2.27	2.58	2.34	2.63	2.44	2.44	2.44	2.32	2.78	3.02	3.07	2.68	2.98	2.95	1.3
K2O	0.91	1.26	0.88	0.75	1	1.07	1	0.82	1.33	2.42	2.78	1.27	1.92	1.63	0.93
P2O5	0.28	0.41	0.26	0.27	0.25	0.32	0.27	0.22	0.36	0.67	0.8	0.34	0.53	0.71	0.95
