Óxidos	MT845	Fo845	AP845	CPX845	PIG845	PL845	MT846	Fo846	AP846	CPX846	PIG846	PL846	MT855	Fo855	AP855	CPX855	PIG855	PL855	MT856	Fo856	AP856	CPX856	PIG856	PL856	MT857	Fo857	AP857	CPX857	PIG857	PL857	MT858	Fo858	AP858	CPX858	PIG858	PL858	MT859	Fo859	AP859	CPX859	PIG859	PL859	MT862	Fo862	AP862	CPX862	PIG862	PL862	MT864	Fo864	AP864	CPX864	PIG864	PL864	MT865	Fo865	AP865	CPX865	PIG865	PL865	MT866	Fo866	AP866	CPX866	PIG866	PL866	MT868	Fo868	AP868	CPX868	PIG868	PL868	MT872	Fo872	AP872	CPX872	PIG872	PL872	MT883	Fo883	AP883	CPX883	PIG883	PL883	INC (%)
SiO2	0.33	39.21	0	50.77	53.34	52.42	0.08	39.21	0	51.52	50.89	54.52	0.31	39.21	0	51.19	51.88	52.91	0.31	39.21	0	51.19	51.88	52.91	0.31	39.21	0	51.19	51.88	52.91	0.31	39.21	0	51.19	51.88	52.91	0.31	39.21	0	51.19	51.88	52.91	0.31	39.21	0	51.19	51.88	52.91	0.08	30.265	0	50.74	50.89	53.44	0.08	30.265	0	51.07	52.2	54.58	0.08	30.265	0	51.07	52.2	54.58	0.5	39.21	0	50.77	53.38	53.6	0.08	39.21	0	50.047	50.89	55.27	0.08	39.21	0	50.047	50.89	55.27	3
TiO2	20.55	0	0	1.04	0.35	0.09	11.86	0	0	1.16	0.47	0.08	25.45	0	0	1.33	0.50	0	25.45	0	0	1.33	0.50	0	25.45	0	0	1.33	0.50	0	25.45	0	0	1.33	0.50	0	25.45	0	0	1.33	0.50	0	25.45	0	0	1.33	0.50	0	11.86	0.0825	0	1.69	0.47	0.18	11.86	0.0825	0	1.11	0.51	0.13	11.86	0.0825	0	1.11	0.51	0.13	13.15	0	0	1.04	0.36	0.08	11.86	0	0	15.117	0.47	0.13	11.86	0	0	15.117	0.47	0.13	3
Al2O3	2.12	0	0	2.46	0.92	29.07	1.9	0	0	2.21	0.61	28	2.5	0	0	1.77	0.04	30.01	2.5	0	0	1.77	0.04	30.01	2.5	0	0	1.77	0.04	30.01	2.5	0	0	1.77	0.04	30.01	2.5	0	0	1.77	0.04	30.01	2.5	0	0	1.77	0.04	30.01	1.9	0.0275	0	2.98	0.61	28.92	1.9	0.0275	0	2.23	0.74	27.68	1.9	0.0275	0	2.23	0.74	27.68	1.49	0	0	2.46	0.83	28.29	1.9	0	0	3.3	0.61	26.84	1.9	0	0	3.3	0.61	26.84	3
Fe2O3	68.45	18.03	0	13.52	18.305	0.76	80.4	18.03	0	10.23	25.3	0.7	65.33	18.03	0	13.17	25.59	0	65.33	18.03	0	13.17	25.59	0	65.33	18.03	0	13.17	25.59	0	65.33	18.03	0	13.17	25.59	0	65.33	18.03	0	13.17	25.59	0	65.33	18.03	0	13.17	25.59	0	80.4	62.68	0	9.75	25.3	0.8	80.4	62.68	0	12.38	22.5	0.7	80.4	62.68	0	12.38	22.5	0.7	77.2	18.03	0	13.52	17.73	0.88	80.4	18.03	0	11.8	25.3	0.83	80.4	18.03	0	11.8	25.3	0.83	3
FeO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MnO	1.44	0.33	0	0.33	0.435	0.01	0.32	0.33	0	0.22	1.04	0	3.24	0.33	0	0.31	0.87	0	3.24	0.33	0	0.31	0.87	0	3.24	0.33	0	0.31	0.87	0	3.24	0.33	0	0.31	0.87	0	3.24	0.33	0	0.31	0.87	0	3.24	0.33	0	0.31	0.87	0	0.32	1.145	0	0.185	1.04	0.02	0.32	1.145	0	0.26	0.4	0	0.32	1.145	0	0.26	0.4	0	1.24	0.33	0	0.33	0.33	0.03	0.32	0.33	0	0.28	1.04	0.02	0.32	0.33	0	0.28	1.04	0.02	3
MgO	0.09	42.19	0	14.79	22.035	0.12	0.17	42.19	0	16.36	16.07	0.12	0.02	42.19	0	14.62	16.48	0	0.02	42.19	0	14.62	16.48	0	0.02	42.19	0	14.62	16.48	0	0.02	42.19	0	14.62	16.48	0	0.02	42.19	0	14.62	16.48	0	0.02	42.19	0	14.62	16.48	0	0.17	3.743	0	15.76	16.07	0.15	0.17	3.743	0	14.67	18.99	0.07	0.17	3.743	0	14.67	18.99	0.07	0.05	42.19	0	14.79	22.73	0.11	0.17	42.19	0	14.4	16.07	0.1	0.17	42.19	0	14.4	16.07	0.1	3
CaO	0.03	0.23	61.04	16.84	4.46	12.86	0.01	0.23	61.04	17.22	4.74	11.18	0	0.23	61.04	17.39	4.59	12.45	0	0.23	61.04	17.39	4.59	12.45	0	0.23	61.04	17.39	4.59	12.45	0	0.23	61.04	17.39	4.59	12.45	0	0.23	61.04	17.39	4.59	12.45	0	0.23	61.04	17.39	4.59	12.45	0.01	0.308	61.04	18.51	4.74	11.61	0.01	0.308	61.04	17.88	4.27	10.99	0.01	0.308	61.04	17.88	4.27	10.99	0.08	0.23	61.04	16.84	4.96	12.01	0.01	0.23	61.04	17.9	4.74	10.21	0.01	0.23	61.04	17.9	4.74	10.21	3
Na2O	0	0	0	0.21	0.06	4.04	0	0	0	0.26	0.07	4.84	0	0	0	0.07	0.01	4.31	0	0	0	0.07	0.01	4.31	0	0	0	0.07	0.01	4.31	0	0	0	0.07	0.01	4.31	0	0	0	0.07	0.01	4.31	0	0	0	0.07	0.01	4.31	0	0.015	0	0.265	0.07	4.57	0	0.015	0	0.22	0.05	5.01	0	0.015	0	0.22	0.05	5.01	0	0	0	0.21	0.08	4.64	0	0	0	0.35	0.07	5.58	0	0	0	0.35	0.07	5.58	3
K2O	0	0	0	0	0.005	0.23	0	0	0	0	0	0.48	0	0	0	0	0	0.31	0	0	0	0	0	0.31	0	0	0	0	0	0.31	0	0	0	0	0	0.31	0	0	0	0	0	0.31	0	0	0	0	0	0.31	0	0	0	0	0	0.43	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0.01	0.31	0	0	0	0	0	0.41	0	0	0	0	0	0.41	3
