Elem.	KS-845	KS-846	KS-855	KS-856	KS857	KS-858	KS-859	KS-862	KS-864	KS-865	KS-866	KS-868	KS-872	KS-883									
La	25.6	20.31	20.07	21	23	20.08	30	31.46	22.72	32.15	56.01	12.65	43.15	35.64									
Ce	56.14	44.86	45.86	47	48	45.96	66	76.33	53.2	74.44	129.47	31.84	95.51	84.5									
Nd	21.33	19.17	21.55	34	25	19.99	37	34.03	23.11	34.87	61.68	14.01	45.04	41.04									
Sm	6.5	5.21	5.58	6	5.9	5.54	7.9	8.62	6.47	8.41	13.76	3.87	11.10	9.01									
Eu	2.26	2.02	1.9	2	1.9	1.88	2.8	2.75	2.07	3.30	5.11	1.43	3.90	3.22									
Tb	0.84	0.78	0.94	0.9	1	0.86	1.3	1.71	1.43	1.21	2.02	0.96	1.39	1.65									
Yb	3.8	2.97	3.79	3.9	3.7	3.88	5.5	5.07	3.88	2.24	3.90	3.15	2.96	3.37									
Lu	0.47	0.37	0.48	0.5	0.48	0.48	0.66	0.61	0.50	0.27	0.41	0.45	0.35	0.41									
Y	36	30	34	37	37	35	45	45	37	28	36	29	33	36									
Ta	1.13	0.89	0.87	0.7	0.9	0.77	1.3	1.31	0.93	1.70	2.37	0.33	1.76	1.49									
Th	3.26	2.33	2.38	2.5	2.7	2.37	3.4	3.55	2.60	3.31	6.03	1.73	4.58	3.36									
U	0.61	0.56	0.55	0.52	0.42	0.47	0.8	0.70	0.50	0.66	1.25	0.39	1.05	0.67									
Hf	4.71	3.59	5.11	4.8	5.4	4.47	6.6	6.24	5.26	6.30	9.95	2.33	7.55	6.47									
Ba	360.88	284.66	251.76	278	211	285.88	419	430.52	308.26	471.13	707.58	222.94	540.78	464.58									
Rb	25	21	17	17	16	19	26	23	22	25	55	14	40	26									
Zr	173	137	169	172	180	170	218	207	178	213	359	91	299	218									
Sr	337	323	222	236	228	261	250	235	244	758	635	196	713	459									
Cr	176	241	273	243	148	138	110	118	190	171	76	152	131	111									
Ni	61	92	69	77	59	60	39	19	56	85	45	67	70	22									
Sc	36.49	38.17	42.43	41	40	40.11	42	42.37	40.27	30	24.13	44.93	25.47	33.33									
Co	42.44	47.67	43.18	44	44	43.30	47	50.93	43.30	43.16	34.17	48.15	38.26	37.73									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
