Elem.	Cpx	Pig	Pl	Mt	Ap
La	0.45	0.26	0.23	0.28	21.5
Ce	0.67	0.29	0.18	0.32	22.9
Nd	1.5	0.37	0.15	0.43	39
Sm	2.1	0.44	0.097	0.6	38
Eu	1.6	0.33	1.4	0.37	19.3
Tb	1.9	0.59	0.1	0.56	26
Yb	1.6	0.77	0.051	0.48	13.9
Lu	1.6	0.87	0.074	0.42	11.6
Yb	1	0.6	0.05	0.3	14
Ta	0.2	0.3	0.03	0.9	0.04
Th	0.2	0.1	0.05	0.4	1.6
U	0.3	0.09	0.08	0.1	4.5
Hf	0.5	0.1	0.03	0.3	0.06
Ba	0.1	0.05	0.4	0.08	0.05
Rb	0.06	0.05	0.04	0.09	0.03
Zr	0.5	0.1	0.2	0.3	1.1
Cs	0.06	0.05	0.03	0.09	0.9
Sr	0.5	0.05	4	0.08	1.5
Cr	10	22	0.1	80	0.04
Ni	7	11	0.6	16	0.8
Sc	17	6	0.03	3	0.05
Co	7	13	0.1	18	0.05
