Óxido	SB337	SB338	SB339	SB340	SB341	SB342	SB346	SB347	SB348	SB349	SB351	SB353	SB354	INC(%)
SiO2	55.73	56.20	49.91	48.92	49.74	49.03	52.27	54.80	51.88	49.16	67.46	67.25	67.12	4
TiO2	1.36	1.19	1.04	0.95	1.03	1.07	1.27	1.48	1.05	1.96	0.85	0.94	1.05	4
Al2O3	14.44	14.58	15.11	15.59	15.36	15.18	15.45	13.95	14.12	15.84	13.16	12.63	12.2	4
Fe2O3	4.37	3.84	4.43	3.92	3.82	3.73	4.38	6.44	4.48	6.94	3.13	4.78	4.63	4
FeO	5.41	5.25	6.09	5.66	6.48	6.19	6.48	6.00	6.61	4.22	1.95	0.93	1.95	4
MnO	0.14	0.13	0.16	0.14	0.16	0.16	0.16	0.16	0.17	0.16	0.11	0.08	0.09	4
MgO	3.46	4.15	7.84	6.59	6.99	7.63	4.84	2.96	6.20	5.67	1.58	1.66	1.63	4
CaO	6.46	7.10	10.56	9.10	10.25	9.17	9.07	6.82	9.22	7.95	2.95	2.73	3.23	4
Na2O	3.45	2.62	1.81	2.67	2.08	2.06	2.44	2.68	2.19	3.45	2.96	2.66	3.25	4
K2O	2.54	2.27	0.87	1.06	1.07	0.88	1.45	2.3	0.85	1.94	3.75	4.35	3.29	4
P2O5	0.28	0.30	0.19	0.17	0.18	0.18	0.23	0.2	0.18	0.49	0.27	0.27	0.27	4

