Elem.	Ol	Cpx	Pig	Pl	Mt	Ap
La	0.008	0.11	0.024	0.18	0.24	8.2
Ce	0.008	0.15	0.026	0.14	0.22	9.6
Nd	0.008	0.3	0.039	0.1	0.23	10
Sm	0.009	0.52	0.06	0.072	0.24	10.2
Eu	0.009	0.5	0.051	0.4	0.22	6.9
Tb	0.011	0.67	0.13	0.058	0.27	10.9
Yb	0.017	0.65	0.29	0.04	0.28	6.4
Lu	0.02	0.64	0.34	0.035	0.27	5
Y	0.01	0.4	0.2	0.02	0.4	2.7
Ta	0.04	0.07	0.03	0.04	0.3	0.04
Th	0.02	0.02	0.03	0.02	0.3	5
U	0.01	0.03	0.01	0.03	0.1	4
Hf	0.03	0.3	0.04	0.03	0.4	0.06
Ba	0.01	0.05	0.03	0.4	0.2	0.05
Rb	0.05	0.02	0.02	0.1	0.09	0.04
Zr	0.04	0.2	0.08	0.07	0.3	0.3
Cs	0.05	0.02	0.02	0.1	0.09	0.9
Sr	0.01	0.2	0.03	2.5	0.08	0.06
Cr	2.4	6	11	0.06	69	0.04
Ni	14	5	8	0.06	15	0.04
Sc	0.3	4	2	0.04	1.5	0.05
Co	4	2	4	0.05	7	0.05
