Óxidos	MT/B	MT/I	MT/A	FO85	FO84	FO83	FO82	FO80	FO78	FO77	FO76	FO75	FO70	AP	CPX1	PIG1	PL1	CPX2	PIG2	PL2	CPX3	PIG3	PL3	CPX4	PIG4	PL4	CPX5	PIG5	PL5	INC(%)
SiO2	0.11	0.08	0.12	39.88	39.74	39.61	39.48	39.21	38.95	38.81	38.68	38.55	37.89	0	52.87	55.01	46.52	52.65	54.42	49.28	52.43	53.85	50.84	51.93	53.71	52.42	51.91	51.58	55.58	3
TiO2	23.23	24.58	21.08	0	0	0	0	0	0	0	0	0	0	0	0.54	0.25	0	0.65	0.29	0	0.77	0.32	0	0.57	0.37	0	0.71	0.41	0	3
Al2O3	1.72	2.04	1.53	0	0	0	0	0	0	0	0	0	0	0	1.73	0.06	34.37	1.57	0.23	32.28	1.4	0.4	31.24	1.13	0.04	30.20	1.29	0.3	28.11	3
Fe2O3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FeO	74.04	70.60	76.48	14.68	15.35	16.02	16.69	18.03	19.37	20.04	20.71	21.38	25.21	0	8.46	16.18	0.18	9.81	17.12	0.24	11.16	18.06	0.25	14.14	20.02	0.25	12.43	26.59	0.26	3
MnO	0.6	2.50	0.45	0.24	0.26	0.28	0.29	0.33	0.37	0.38	0.40	0.42	0.49	0	0.34	0.44	0	0.3	0.40	0	0.26	0.36	0	0.75	0.54	0	0.51	0.68	0	3
MgO	0.3	0.2	0.34	44.96	44.40	43.85	43.30	42.19	41.09	40.53	39.98	39.43	36.19	0	17.51	24.57	0	16.82	23.52	0	16.13	22.47	0	14.87	21.60	0	14.84	15.99	0	3
CaO	0	0	0	0.25	0.24	0.24	0.24	0.23	0.23	0.23	0.23	0.22	0.22	61.04	18.48	3.48	17.44	18.14	4.01	15.45	17.8	4.53	12.76	16.59	3.72	12.76	18.25	4.40	10.07	3
Na2O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.01	1.40	0.06	0.01	2.58	0.05	0.01	3.97	0.02	0	3.97	0.06	0.05	5.36	3
K2O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.17	0	0	0.4	0	0	0.40	0	0	0.62	3
P2O5	0	0	0	0	0	0	0	0	0	0	0	0	0	38.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
