Elem.	SB-337	SB-338	SB-339	SB-340	SB-341	SB-342	SB-346	SB-347	SB-348	SB-349	SB-351	SB-353	SB-354									
La	33	32	14	15	17.4	14.8	22	27	15.7	33	43	43	37									
Ce	66	67	29	29.4	36.3	31.3	45	55	31.9	78	83	89	76									
Nd	33	30	14	0	21	19	24	33	19	0	42	42	36									
Sm	6.40	6.3	3.3	4	4.1	4	4.7	6.1	4.3	8.8	8.9	8.3	7.3									
Eu	1.50	1.4	1	1	1.1	1	1.2	1.4	1.1	2.4	1.7	1.7	1.6									
Tb	0.89	0.87	0.55	0.56	0.66	0.62	0.8	0.98	0.73	1.12	1.24	1.38	1.17									
Yb	2.12	2.66	2	1.9	2.23	2.07	2.87	3.3	2.7	3.7	4	5.3	4.2									
Lu	0.36	0.37	0.28	0.3	0.36	0.3	0.36	0.41	0.31	0.38	0.55	0.64	0.58									
Y	32	32	21	20	23	22	29	40	28	33	43	58	43									
Ta	1.23	1.21	0.47	0.39	0.46	0.49	0.58	0.84	0.46	0.88	1.76	1.77	1.59									
Th	7.2	7.2	2.9	2.9	3.3	2.8	4.4	7	3.2	2.3	14	13.8	11.6									
U	1.41	1.42	0.62	0.48	0.58	0.59	0.75	1.4	0.7	0.32	5	4.8	4.6									
Hf	5	4.9	2.5	2.5	2.9	2.9	3.6	4.6	2.7	6.7	6.6	6.7	6.2									
Ba	523	512	216	244	316	259	347	423	238	962	608	722	546									
Rb	85	76	26	32	29	23.5	43	81	37.1	38	162	186	136									
Zr	252	237	112	105	120	130	169	199	106	319	298	310	288									
Cs	1.39	1.17	0.75	0.5	0.23	0.26	0.53	0.9	1.08	0.67	8.3	7.4	6.2									
Sr	229	248	225	210	236	157	239	191	266	412	134	141	144									
Cr	41	49	433	265	269	373	54	27	34	41	9	10	14									
Ni	28	32	174	102	108	130	56	23	35	75	6	5	6									
Sc	27	27	33	35	34	34	32	32	33	23	18	16	17									
Co	32.2	31.5	48	44	45	44	43	43	46	42	10.8	10.1	13.2									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
